time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-01 00:00:00+00:00,4,1,14,2
2022-12-05 00:00:00+00:00,9,2,69,2
2022-12-06 00:00:00+00:00,8,1,23,1
2022-12-08 00:00:00+00:00,33,8,93,3
2022-12-09 00:00:00+00:00,3,3,20,2
2022-12-10 00:00:00+00:00,33,12,33,3
2022-12-11 00:00:00+00:00,0,0,10,6
2022-12-12 00:00:00+00:00,11,3,38,10
2022-12-13 00:00:00+00:00,15,6,232,126
2022-12-14 00:00:00+00:00,2,1,363,162
2022-12-15 00:00:00+00:00,6,5,211,90
2022-12-16 00:00:00+00:00,19,5,180,49
2022-12-17 00:00:00+00:00,13,4,65,19
2022-12-18 00:00:00+00:00,14,7,38,17
2022-12-19 00:00:00+00:00,2,2,121,40
2022-12-20 00:00:00+00:00,0,0,56,27
2022-12-21 00:00:00+00:00,1,1,12,9
2022-12-22 00:00:00+00:00,14,4,41,15
2022-12-23 00:00:00+00:00,0,0,11,10
2022-12-24 00:00:00+00:00,0,0,9,8
2022-12-25 00:00:00+00:00,1,1,39,14
2022-12-26 00:00:00+00:00,2,1,28,8
2022-12-27 00:00:00+00:00,0,0,39,13
2022-12-28 00:00:00+00:00,1,1,9,9
2022-12-29 00:00:00+00:00,6,2,8,5
2022-12-30 00:00:00+00:00,0,0,4,4
2022-12-31 00:00:00+00:00,2,1,3,2
2023-01-01 00:00:00+00:00,0,0,9,6
2023-01-02 00:00:00+00:00,24,5,69,13
